championName,championId,Win,Lose,Banned,아트록스(승),아트록스(패),아트록스(밴),아리(승),아리(패),아리(밴),아칼리(승),아칼리(패),아칼리(밴),아크샨(승),아크샨(패),아크샨(밴),알리스타(승),알리스타(패),알리스타(밴),아무무(승),아무무(패),아무무(밴),애니비아(승),애니비아(패),애니비아(밴),애니(승),애니(패),애니(밴),아펠리오스(승),아펠리오스(패),아펠리오스(밴),애쉬(승),애쉬(패),애쉬(밴),아우렐리온 솔(승),아우렐리온 솔(패),아우렐리온 솔(밴),아지르(승),아지르(패),아지르(밴),바드(승),바드(패),바드(밴),벨베스(승),벨베스(패),벨베스(밴),블리츠크랭크(승),블리츠크랭크(패),블리츠크랭크(밴),브랜드(승),브랜드(패),브랜드(밴),브라움(승),브라움(패),브라움(밴),케이틀린(승),케이틀린(패),케이틀린(밴),카밀(승),카밀(패),카밀(밴),카시오페아(승),카시오페아(패),카시오페아(밴),초가스(승),초가스(패),초가스(밴),코르키(승),코르키(패),코르키(밴),다리우스(승),다리우스(패),다리우스(밴),다이애나(승),다이애나(패),다이애나(밴),드레이븐(승),드레이븐(패),드레이븐(밴),문도 박사(승),문도 박사(패),문도 박사(밴),에코(승),에코(패),에코(밴),엘리스(승),엘리스(패),엘리스(밴),이블린(승),이블린(패),이블린(밴),이즈리얼(승),이즈리얼(패),이즈리얼(밴),피들스틱(승),피들스틱(패),피들스틱(밴),피오라(승),피오라(패),피오라(밴),피즈(승),피즈(패),피즈(밴),갈리오(승),갈리오(패),갈리오(밴),갱플랭크(승),갱플랭크(패),갱플랭크(밴),가렌(승),가렌(패),가렌(밴),나르(승),나르(패),나르(밴),그라가스(승),그라가스(패),그라가스(밴),그레이브즈(승),그레이브즈(패),그레이브즈(밴),그웬(승),그웬(패),그웬(밴),헤카림(승),헤카림(패),헤카림(밴),하이머딩거(승),하이머딩거(패),하이머딩거(밴),일라오이(승),일라오이(패),일라오이(밴),이렐리아(승),이렐리아(패),이렐리아(밴),아이번(승),아이번(패),아이번(밴),잔나(승),잔나(패),잔나(밴),자르반 4세(승),자르반 4세(패),자르반 4세(밴),잭스(승),잭스(패),잭스(밴),제이스(승),제이스(패),제이스(밴),진(승),진(패),진(밴),징크스(승),징크스(패),징크스(밴),카이사(승),카이사(패),카이사(밴),칼리스타(승),칼리스타(패),칼리스타(밴),카르마(승),카르마(패),카르마(밴),카서스(승),카서스(패),카서스(밴),카사딘(승),카사딘(패),카사딘(밴),카타리나(승),카타리나(패),카타리나(밴),케일(승),케일(패),케일(밴),케인(승),케인(패),케인(밴),케넨(승),케넨(패),케넨(밴),카직스(승),카직스(패),카직스(밴),킨드레드(승),킨드레드(패),킨드레드(밴),클레드(승),클레드(패),클레드(밴),코그모(승),코그모(패),코그모(밴),르블랑(승),르블랑(패),르블랑(밴),리 신(승),리 신(패),리 신(밴),레오나(승),레오나(패),레오나(밴),릴리아(승),릴리아(패),릴리아(밴),리산드라(승),리산드라(패),리산드라(밴),루시안(승),루시안(패),루시안(밴),룰루(승),룰루(패),룰루(밴),럭스(승),럭스(패),럭스(밴),말파이트(승),말파이트(패),말파이트(밴),말자하(승),말자하(패),말자하(밴),마오카이(승),마오카이(패),마오카이(밴),마스터 이(승),마스터 이(패),마스터 이(밴),미스포츈(승),미스포츈(패),미스포츈(밴),오공(승),오공(패),오공(밴),모데카이저(승),모데카이저(패),모데카이저(밴),모르가나(승),모르가나(패),모르가나(밴),나미(승),나미(패),나미(밴),나서스(승),나서스(패),나서스(밴),노틸러스(승),노틸러스(패),노틸러스(밴),니코(승),니코(패),니코(밴),니달리(승),니달리(패),니달리(밴),닐라(승),닐라(패),닐라(밴),녹턴(승),녹턴(패),녹턴(밴),누누와 윌럼프(승),누누와 윌럼프(패),누누와 윌럼프(밴),올라프(승),올라프(패),올라프(밴),오리아나(승),오리아나(패),오리아나(밴),오른(승),오른(패),오른(밴),판테온(승),판테온(패),판테온(밴),뽀삐(승),뽀삐(패),뽀삐(밴),파이크(승),파이크(패),파이크(밴),키아나(승),키아나(패),키아나(밴),퀸(승),퀸(패),퀸(밴),라칸(승),라칸(패),라칸(밴),람머스(승),람머스(패),람머스(밴),렉사이(승),렉사이(패),렉사이(밴),렐(승),렐(패),렐(밴),레타나 글라스크(승),레타나 글라스크(패),레타나 글라스크(밴),레넥톤(승),레넥톤(패),레넥톤(밴),렝가(승),렝가(패),렝가(밴),리븐(승),리븐(패),리븐(밴),럼블(승),럼블(패),럼블(밴),라이즈(승),라이즈(패),라이즈(밴),사미라(승),사미라(패),사미라(밴),세주아니(승),세주아니(패),세주아니(밴),세나(승),세나(패),세나(밴),세라핀(승),세라핀(패),세라핀(밴),세트(승),세트(패),세트(밴),샤코(승),샤코(패),샤코(밴),쉔(승),쉔(패),쉔(밴),쉬바나(승),쉬바나(패),쉬바나(밴),신지드(승),신지드(패),신지드(밴),사이온(승),사이온(패),사이온(밴),시비르(승),시비르(패),시비르(밴),스카너(승),스카너(패),스카너(밴),소나(승),소나(패),소나(밴),소라카(승),소라카(패),소라카(밴),스웨인(승),스웨인(패),스웨인(밴),사일러스(승),사일러스(패),사일러스(밴),신드라(승),신드라(패),신드라(밴),탐 켄치(승),탐 켄치(패),탐 켄치(밴),탈리야(승),탈리야(패),탈리야(밴),탈론(승),탈론(패),탈론(밴),타릭(승),타릭(패),타릭(밴),티모(승),티모(패),티모(밴),쓰레쉬(승),쓰레쉬(패),쓰레쉬(밴),트리스타나(승),트리스타나(패),트리스타나(밴),트런들(승),트런들(패),트런들(밴),트린다미어(승),트린다미어(패),트린다미어(밴),트위스티드 페이트(승),트위스티드 페이트(패),트위스티드 페이트(밴),트위치(승),트위치(패),트위치(밴),우디르(승),우디르(패),우디르(밴),우르곳(승),우르곳(패),우르곳(밴),바루스(승),바루스(패),바루스(밴),베인(승),베인(패),베인(밴),베이가(승),베이가(패),베이가(밴),벨코즈(승),벨코즈(패),벨코즈(밴),벡스(승),벡스(패),벡스(밴),바이(승),바이(패),바이(밴),비에고(승),비에고(패),비에고(밴),빅토르(승),빅토르(패),빅토르(밴),블라디미르(승),블라디미르(패),블라디미르(밴),볼리베어(승),볼리베어(패),볼리베어(밴),워윅(승),워윅(패),워윅(밴),자야(승),자야(패),자야(밴),제라스(승),제라스(패),제라스(밴),신 짜오(승),신 짜오(패),신 짜오(밴),야스오(승),야스오(패),야스오(밴),요네(승),요네(패),요네(밴),요릭(승),요릭(패),요릭(밴),유미(승),유미(패),유미(밴),자크(승),자크(패),자크(밴),제드(승),제드(패),제드(밴),제리(승),제리(패),제리(밴),직스(승),직스(패),직스(밴),질리언(승),질리언(패),질리언(밴),조이(승),조이(패),조이(밴),자이라(승),자이라(패),자이라(밴)
아트록스,266,841,784,3010,-1,-1,-1,9,10,11,64,75,75,13,13,140,34,34,75,76,50,425,2,4,11,1,1,1,55,58,22,29,32,29,1,1,0,36,28,87,26,29,14,29,26,130,40,35,234,2,5,8,15,17,5,68,60,593,0,6,32,8,9,22,3,4,8,1,1,0,0,1,100,18,16,9,24,30,1077,1,1,15,26,25,13,24,19,119,4,0,1,53,63,72,14,10,53,0,1,526,6,5,61,44,32,89,0,1,209,1,0,36,1,0,10,19,19,33,104,92,728,1,0,22,44,43,506,12,21,97,1,0,9,23,11,203,0,1,4,6,6,6,7,13,2,0,2,226,3,0,19,40,41,1,29,28,5,167,138,97,46,38,625,41,46,200,35,30,412,4,5,3,12,25,207,0,0,1,7,10,50,4,1,62,15,9,4,59,46,763,2,2,13,1,0,0,16,22,851,87,80,190,48,35,34,13,15,5,4,10,1,13,17,18,36,40,97,20,10,5,1,0,12,2,1,3,63,57,117,6,6,39,51,59,264,4,5,16,1,0,5,8,14,35,2,0,2,2,2,3,80,85,322,3,6,1,84,73,1248,24,10,269,7,4,8,20,16,76,6,1,12,14,10,29,8,4,14,8,15,9,11,15,95,51,41,1401,20,19,89,0,0,8,34,25,17,5,8,34,15,11,260,51,24,30,32,29,178,16,8,249,5,8,90,2,1,15,24,14,115,12,13,8,53,53,464,10,11,40,10,11,3,7,10,3,30,37,79,10,11,191,1,1,15,0,0,1,3,2,6,0,2,4,22,24,108,4,0,1,0,0,2,20,16,4,5,6,6,81,75,492,43,42,201,5,8,0,63,64,550,22,30,116,12,11,14,0,0,15,61,57,64,34,38,17,4,7,7,5,6,23,16,18,17,13,12,10,1,3,79,0,0,5,49,45,117,12,7,27,5,7,2,6,1,6,33,29,265,24,22,15,59,44,26,69,55,143,12,8,46,1,1,6,1,1,2,18,5,2,5,5,12,5,5,1,27,30,119,40,47,144,0,0,3,35,27,508,11,12,31,13,18,677,7,6,0,8,3,4,2,2,4,66,56,537,2,3,3
아리,103,82,81,37,9,10,11,-1,-1,-1,2,1,0,1,3,2,4,2,0,9,4,9,1,1,0,0,0,0,4,7,2,3,3,1,0,0,0,0,0,1,2,2,0,2,5,2,2,3,3,1,1,0,0,0,0,4,10,11,1,5,1,0,1,0,0,0,0,0,0,0,3,1,4,1,1,0,5,4,12,1,1,0,0,0,0,2,1,3,1,1,0,10,7,2,0,0,1,2,2,6,0,0,0,0,0,2,3,4,5,0,1,0,1,2,1,5,6,1,15,13,11,2,2,2,6,8,3,0,1,1,0,0,1,2,2,3,0,0,0,0,0,0,1,0,0,5,2,1,2,0,0,2,1,0,1,1,0,25,18,2,5,6,10,5,7,0,1,0,5,0,0,0,0,0,5,0,0,0,2,1,1,1,6,2,1,1,0,6,9,8,1,1,0,0,1,0,0,0,11,13,6,9,4,3,1,0,1,0,0,0,1,1,1,3,1,8,2,2,1,0,0,0,1,0,0,0,5,5,2,0,2,2,6,4,5,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,12,6,6,0,0,0,4,4,9,1,1,2,1,0,0,0,1,0,2,1,0,0,0,0,4,1,1,3,4,0,5,2,2,3,5,20,3,1,2,1,1,0,4,6,1,2,1,0,1,1,5,6,2,0,4,4,2,5,5,3,1,3,0,2,2,0,0,1,1,0,0,0,6,3,9,5,4,0,0,0,0,0,0,1,1,1,5,1,1,1,3,3,0,0,0,0,1,0,0,0,1,0,2,2,1,0,0,0,0,0,0,1,2,0,1,0,0,1,0,10,0,0,1,0,2,1,1,2,8,3,1,1,1,1,0,1,1,0,4,5,0,1,3,1,0,1,0,1,2,1,0,0,1,2,2,1,0,0,0,1,0,0,2,3,0,1,1,1,0,0,0,0,0,0,0,0,2,6,5,1,5,6,2,0,0,2,3,0,1,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,5,2,4,3,1,0,0,1,3,2,7,0,2,0,2,0,7,0,0,0,1,0,0,0,0,1,0,1,4,0,1,0
아칼리,84,388,422,176,64,75,75,2,1,0,-1,-1,-1,6,6,6,18,12,6,25,34,41,1,0,1,0,0,0,25,34,1,20,21,2,0,0,0,3,3,7,18,14,1,15,22,5,21,17,19,2,5,1,10,10,0,28,36,32,14,17,1,6,2,1,2,4,0,0,0,0,4,6,20,3,2,1,7,13,73,3,0,0,3,3,1,7,5,11,0,0,1,30,21,10,4,6,3,17,23,28,1,0,6,11,3,3,13,14,13,1,1,2,10,13,0,19,13,0,87,69,52,1,5,2,34,33,31,9,5,4,0,3,2,15,13,15,1,1,0,0,2,0,3,8,0,13,14,17,5,3,1,21,23,0,14,8,0,80,73,11,21,32,41,24,18,9,2,6,21,1,0,1,0,4,9,0,0,1,10,8,3,9,7,2,7,8,0,27,28,45,3,3,4,1,1,0,1,3,53,42,79,12,10,17,3,1,4,0,0,0,0,7,5,0,16,22,9,10,9,1,2,0,1,0,0,0,31,34,10,5,3,6,31,34,27,2,2,0,1,2,0,2,4,5,1,1,0,1,1,0,32,44,20,1,1,0,18,15,71,11,12,16,0,0,0,7,8,3,3,6,1,2,0,1,14,10,3,5,3,1,6,14,12,24,24,76,7,16,4,3,6,1,11,14,1,5,4,4,7,16,24,28,22,4,11,20,12,8,16,10,5,8,4,3,4,1,7,8,5,1,3,2,19,21,41,18,25,6,0,4,0,2,0,0,16,16,6,7,5,12,10,8,1,1,1,0,3,0,2,1,4,0,13,7,10,0,0,0,0,1,0,6,7,0,0,1,0,13,10,35,4,2,16,1,7,2,7,8,29,9,5,4,18,4,1,1,1,1,27,24,2,17,24,4,5,4,1,3,2,1,0,3,2,4,7,3,2,5,6,0,0,0,26,26,1,8,4,7,0,2,0,0,0,0,3,3,24,22,8,1,36,29,1,1,3,9,1,3,2,0,1,0,1,3,0,7,9,1,1,6,0,3,2,0,5,5,10,9,22,4,1,1,1,15,23,34,6,7,0,4,7,43,3,2,0,3,3,1,3,2,2,3,2,35,1,4,0
아크샨,166,156,189,331,13,13,140,1,3,2,6,6,6,-1,-1,-1,4,7,12,6,10,56,0,2,2,0,1,0,11,16,2,6,9,4,0,0,0,0,2,8,5,4,0,4,2,20,4,17,28,1,1,0,3,6,0,15,12,86,7,6,1,0,4,2,2,2,1,0,0,0,0,1,22,7,6,2,11,7,115,0,1,0,7,14,1,8,5,9,0,1,0,8,12,10,4,6,6,6,5,66,0,1,8,1,3,5,6,4,24,1,2,6,0,2,1,9,4,4,12,7,79,0,1,6,6,9,72,1,5,14,0,1,3,5,8,33,1,0,0,1,1,2,1,2,1,5,5,38,1,0,4,8,8,0,3,4,1,27,33,10,12,6,79,8,9,22,12,14,47,0,0,2,3,2,16,0,1,0,1,1,8,7,7,13,0,0,1,4,6,107,1,0,1,0,1,0,2,2,82,12,15,18,5,12,0,6,8,0,0,0,0,3,3,1,9,9,6,5,1,0,0,0,1,0,0,0,11,13,16,2,4,4,12,15,23,0,0,2,2,2,1,2,0,4,0,1,0,0,1,0,19,24,32,0,1,0,26,30,153,1,2,24,0,0,1,3,3,10,2,3,2,1,0,2,5,1,1,4,1,0,0,3,14,6,8,177,3,1,16,1,1,2,5,9,4,2,1,10,0,1,39,6,7,2,12,3,22,3,9,40,4,4,13,2,0,0,6,5,11,0,0,0,7,13,60,7,7,5,2,3,0,3,0,0,5,8,9,3,1,27,7,5,1,0,0,0,0,0,2,0,2,1,3,5,12,0,1,0,0,0,1,3,6,0,3,2,0,11,9,47,4,8,17,1,4,0,13,32,76,2,3,12,4,4,1,3,0,1,12,15,8,7,11,4,0,0,1,0,2,4,0,1,2,1,3,0,1,2,9,0,0,1,9,12,21,1,5,5,0,1,1,1,1,0,2,1,37,5,7,4,9,7,2,6,3,13,3,3,6,0,0,1,1,1,0,2,1,0,0,2,0,0,1,0,3,4,13,5,6,17,0,0,0,4,5,63,7,4,5,1,3,60,0,0,0,1,1,0,1,2,1,4,7,50,0,1,1
알리스타,12,217,206,189,34,34,75,4,2,0,18,12,6,4,7,12,-1,-1,-1,0,0,23,0,1,0,0,0,0,10,11,2,4,3,2,1,0,0,5,13,10,0,0,0,8,8,10,1,1,17,2,1,0,0,0,0,7,5,32,10,11,0,4,2,2,0,1,0,1,0,0,4,4,7,4,3,1,4,7,61,0,3,1,10,9,1,8,5,3,1,0,0,10,10,3,3,3,4,15,11,46,1,1,6,9,12,9,8,4,19,2,2,4,8,5,1,13,5,1,36,27,54,0,2,3,8,13,30,1,4,5,0,2,1,13,18,16,0,0,0,0,0,1,0,2,1,12,10,20,3,3,3,9,4,0,4,5,0,68,60,13,11,13,44,2,1,14,10,7,27,1,0,1,3,3,9,1,0,0,2,3,6,9,8,2,2,1,0,16,11,60,1,1,1,0,0,0,3,5,52,30,19,13,0,0,2,4,5,0,1,0,0,1,1,2,2,1,1,0,0,0,1,2,2,2,0,0,12,12,6,2,4,2,14,17,17,1,4,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,3,0,12,23,90,2,2,18,2,1,0,5,7,5,0,3,1,3,1,1,5,5,0,1,2,2,4,4,9,2,3,83,8,5,3,2,3,4,0,0,2,3,1,2,2,3,26,0,0,4,0,0,12,10,14,18,2,8,8,5,3,1,12,3,8,2,6,0,20,27,32,16,8,2,0,0,0,3,0,0,11,17,5,2,2,19,3,1,2,0,2,0,3,0,1,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,4,2,0,34,18,40,8,11,16,0,0,0,19,18,45,6,8,9,0,0,1,2,1,2,0,0,3,18,11,1,0,1,0,3,3,4,0,4,2,1,2,0,1,2,8,1,1,1,13,8,4,6,4,2,2,2,0,1,1,0,9,3,14,0,4,1,16,15,3,10,15,13,9,6,1,1,1,1,1,3,0,5,1,0,0,0,1,0,1,0,14,8,7,11,18,15,3,0,0,0,0,28,6,1,3,4,6,49,1,0,0,2,3,0,0,0,1,11,16,42,0,0,1
아무무,32,396,385,1006,76,50,425,9,4,9,25,34,41,6,10,56,0,0,23,-1,-1,-1,4,0,10,0,1,0,7,18,9,7,7,14,0,0,1,16,10,25,1,0,5,18,13,37,0,1,81,0,1,2,0,0,2,12,12,152,15,18,9,9,1,8,3,4,4,0,0,0,8,9,59,12,9,5,18,15,326,7,6,6,5,11,5,5,5,59,3,0,2,19,15,31,2,4,24,18,16,211,6,4,22,25,21,29,9,20,103,2,4,7,10,16,3,20,15,12,66,58,258,4,3,10,26,23,174,1,1,26,4,4,5,20,10,96,0,1,4,0,0,2,2,1,1,16,21,99,4,2,9,6,7,3,8,7,1,101,79,41,42,53,184,0,0,45,18,12,138,2,1,6,11,7,70,2,0,0,5,7,25,16,10,31,2,2,3,30,23,262,2,2,5,0,0,0,13,14,293,37,54,65,0,0,13,6,6,2,2,3,2,5,3,8,5,3,22,0,3,3,1,1,7,0,0,1,25,22,52,3,5,22,52,55,111,3,1,8,1,0,4,1,1,19,0,0,0,1,3,0,0,0,126,1,2,1,44,28,387,6,8,89,2,3,6,6,6,36,13,7,9,6,4,7,19,10,8,0,3,0,10,9,56,4,1,454,9,8,25,3,2,5,0,0,2,0,6,27,11,3,136,0,0,13,0,0,58,21,33,96,9,16,48,6,4,9,15,26,41,10,5,4,50,44,204,15,18,22,0,0,5,1,1,1,23,25,39,7,5,68,4,8,7,0,0,1,1,7,5,3,2,2,5,5,38,0,0,0,0,0,0,0,1,0,0,2,3,46,43,185,14,17,64,0,1,2,33,29,169,21,4,39,0,1,3,1,1,6,0,1,17,20,21,10,1,8,6,5,1,9,6,9,8,4,3,4,8,5,41,1,3,1,16,16,30,3,5,14,1,3,2,1,3,1,15,18,104,9,7,9,19,30,14,22,30,64,9,9,23,0,2,2,4,4,1,6,9,3,1,2,3,1,2,0,10,7,38,35,34,56,3,1,1,0,0,178,3,9,11,12,14,272,2,0,0,3,2,3,0,0,4,25,22,154,0,0,1
애니비아,34,27,29,28,2,4,11,1,1,0,1,0,1,0,2,2,0,1,0,4,0,10,-1,-1,-1,0,0,0,2,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,4,0,1,0,0,1,0,4,4,5,1,0,1,0,2,0,0,0,0,0,0,0,1,1,3,1,3,0,0,0,10,0,0,0,2,0,0,0,1,7,1,0,0,3,2,2,0,0,0,0,2,3,0,0,0,0,0,0,0,1,4,0,0,1,4,0,0,1,0,1,5,8,6,3,0,0,0,2,5,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,1,0,0,1,0,3,1,1,0,1,7,0,1,0,0,5,1,2,2,2,3,0,1,4,3,1,4,0,0,0,1,0,3,0,0,0,0,0,2,0,2,0,0,0,0,3,2,2,0,2,0,0,0,0,0,0,5,3,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,4,0,1,1,0,1,0,1,2,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,9,0,0,1,4,4,8,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,0,2,1,0,0,0,0,2,0,0,0,1,1,1,4,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,2,1,0,1,1,0,5,1,3,4,0,0,0,0,0,0,2,3,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,3,1,3,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,3,2,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,3,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,3,2,1,3,3,0,0,0,1,0,8,0,1,0,2,1,7,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0
애니,1,6,5,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
아펠리오스,523,350,431,47,55,58,22,4,7,2,25,34,1,11,16,2,10,11,2,7,18,9,2,1,0,0,0,0,-1,-1,-1,7,2,1,0,0,0,9,14,2,8,9,0,11,10,3,14,10,2,1,0,0,11,15,0,0,0,7,12,16,1,5,12,0,1,2,0,1,0,0,3,8,3,9,13,0,0,0,13,7,5,0,6,11,0,6,8,3,1,0,0,1,1,1,10,3,1,19,21,17,2,2,1,20,18,3,17,18,6,4,4,1,8,13,0,23,13,0,50,57,13,0,4,0,28,32,8,4,3,1,0,4,0,23,25,1,1,3,0,1,2,0,5,7,0,17,17,6,11,8,0,0,0,0,0,0,0,0,1,3,0,2,7,8,16,1,13,11,5,4,4,0,4,9,3,0,0,0,7,3,0,8,12,1,6,6,0,27,33,14,2,4,0,0,0,0,16,15,15,29,44,4,14,12,3,4,7,0,1,2,0,0,1,0,29,47,3,0,3,0,0,1,0,1,0,0,25,39,2,5,2,0,0,0,5,1,6,0,2,7,0,3,3,2,0,1,0,1,2,0,28,37,11,1,1,0,31,37,28,0,0,5,4,1,0,9,6,2,10,9,0,5,4,0,11,19,0,5,6,0,17,7,0,8,11,19,14,14,2,2,7,1,19,13,0,3,1,0,10,7,2,9,4,3,18,28,0,21,33,7,6,14,3,6,3,0,14,21,3,5,3,0,0,0,6,20,19,0,0,1,0,1,2,0,14,29,5,4,5,3,5,7,0,2,1,0,4,4,1,3,4,0,0,0,1,0,0,0,0,0,0,5,11,0,0,6,0,46,54,11,14,21,1,6,9,0,27,37,10,7,17,1,11,3,0,2,2,0,107,128,1,4,4,2,1,3,0,6,5,0,3,8,1,0,0,1,2,2,1,0,2,0,0,0,1,1,4,1,1,4,0,1,0,0,6,10,3,11,14,0,19,32,0,23,30,0,15,21,1,0,1,0,1,2,0,0,0,0,1,4,0,3,4,0,8,13,5,23,32,3,2,3,0,1,4,4,14,6,2,13,13,12,0,0,0,0,0,0,1,0,0,26,28,8,0,1,0
애쉬,22,251,261,64,29,32,29,3,3,1,20,21,2,6,9,4,4,3,2,7,7,14,0,1,1,1,0,0,7,2,1,-1,-1,-1,0,0,0,1,5,3,5,2,0,8,7,2,5,4,8,2,1,1,8,10,0,7,15,9,17,12,2,4,3,0,2,1,0,2,0,0,6,6,5,11,9,1,6,6,19,0,0,0,4,7,0,2,10,5,1,1,0,19,27,3,5,4,1,5,16,19,2,1,2,17,14,0,16,16,2,0,1,2,4,6,0,8,17,0,32,34,16,2,6,0,10,12,14,8,3,2,1,0,0,19,17,10,2,1,0,2,2,0,1,1,1,18,10,4,4,5,0,12,9,1,4,2,0,13,12,3,8,2,16,8,7,1,15,14,8,3,2,0,4,8,7,0,1,0,5,3,2,7,8,0,4,1,0,13,20,11,3,0,0,0,0,0,7,6,18,29,30,6,8,10,3,2,5,0,2,2,0,2,1,1,12,17,3,3,3,0,1,3,0,1,0,0,15,20,2,3,6,5,10,18,7,1,0,0,0,3,0,1,0,2,1,1,0,2,2,0,5,4,9,3,1,0,24,16,21,2,2,3,1,1,0,6,4,4,10,3,1,0,4,0,9,10,1,6,4,0,5,7,1,9,4,26,10,10,1,3,2,0,5,13,0,1,0,2,4,10,6,4,3,1,7,4,2,16,23,6,7,6,5,7,4,1,9,14,3,5,4,1,0,0,15,13,15,1,1,2,0,11,6,0,17,19,4,4,6,3,4,5,0,0,0,0,2,0,1,2,2,0,6,6,6,0,1,0,0,1,0,7,3,0,1,1,0,29,26,14,11,9,7,2,3,0,21,11,8,8,9,3,5,2,0,1,1,1,3,4,0,8,4,1,2,3,0,5,2,0,5,5,0,0,1,0,1,5,6,0,0,0,7,11,4,2,4,2,1,1,1,0,3,0,9,6,11,11,5,2,14,12,0,16,20,3,2,10,0,0,2,0,1,2,0,3,0,0,3,1,2,4,1,0,6,9,3,22,20,3,2,1,0,1,2,10,4,9,1,10,12,15,1,0,0,2,0,0,2,1,1,12,21,8,0,0,0
