championName,championId,Win,Lose,vs아트록스(승),vs아트록스(패),vs아리(승),vs아리(패),vs아칼리(승),vs아칼리(패),vs아크샨(승),vs아크샨(패),vs알리스타(승),vs알리스타(패),vs아무무(승),vs아무무(패),vs애니비아(승),vs애니비아(패),vs애니(승),vs애니(패),vs아펠리오스(승),vs아펠리오스(패),vs애쉬(승),vs애쉬(패),vs아우렐리온 솔(승),vs아우렐리온 솔(패),vs아지르(승),vs아지르(패),vs바드(승),vs바드(패),vs벨베스(승),vs벨베스(패),vs블리츠크랭크(승),vs블리츠크랭크(패),vs브랜드(승),vs브랜드(패),vs브라움(승),vs브라움(패),vs케이틀린(승),vs케이틀린(패),vs카밀(승),vs카밀(패),vs카시오페아(승),vs카시오페아(패),vs초가스(승),vs초가스(패),vs코르키(승),vs코르키(패),vs다리우스(승),vs다리우스(패),vs다이애나(승),vs다이애나(패),vs드레이븐(승),vs드레이븐(패),vs문도 박사(승),vs문도 박사(패),vs에코(승),vs에코(패),vs엘리스(승),vs엘리스(패),vs이블린(승),vs이블린(패),vs이즈리얼(승),vs이즈리얼(패),vs피들스틱(승),vs피들스틱(패),vs피오라(승),vs피오라(패),vs피즈(승),vs피즈(패),vs갈리오(승),vs갈리오(패),vs갱플랭크(승),vs갱플랭크(패),vs가렌(승),vs가렌(패),vs나르(승),vs나르(패),vs그라가스(승),vs그라가스(패),vs그레이브즈(승),vs그레이브즈(패),vs그웬(승),vs그웬(패),vs헤카림(승),vs헤카림(패),vs하이머딩거(승),vs하이머딩거(패),vs일라오이(승),vs일라오이(패),vs이렐리아(승),vs이렐리아(패),vs아이번(승),vs아이번(패),vs잔나(승),vs잔나(패),vs자르반 4세(승),vs자르반 4세(패),vs잭스(승),vs잭스(패),vs제이스(승),vs제이스(패),vs진(승),vs진(패),vs징크스(승),vs징크스(패),vs카이사(승),vs카이사(패),vs칼리스타(승),vs칼리스타(패),vs카르마(승),vs카르마(패),vs카서스(승),vs카서스(패),vs카사딘(승),vs카사딘(패),vs카타리나(승),vs카타리나(패),vs케일(승),vs케일(패),vs케인(승),vs케인(패),vs케넨(승),vs케넨(패),vs카직스(승),vs카직스(패),vs킨드레드(승),vs킨드레드(패),vs클레드(승),vs클레드(패),vs코그모(승),vs코그모(패),vs르블랑(승),vs르블랑(패),vs리 신(승),vs리 신(패),vs레오나(승),vs레오나(패),vs릴리아(승),vs릴리아(패),vs리산드라(승),vs리산드라(패),vs루시안(승),vs루시안(패),vs룰루(승),vs룰루(패),vs럭스(승),vs럭스(패),vs말파이트(승),vs말파이트(패),vs말자하(승),vs말자하(패),vs마오카이(승),vs마오카이(패),vs마스터 이(승),vs마스터 이(패),vs미스포츈(승),vs미스포츈(패),vs오공(승),vs오공(패),vs모데카이저(승),vs모데카이저(패),vs모르가나(승),vs모르가나(패),vs나미(승),vs나미(패),vs나서스(승),vs나서스(패),vs노틸러스(승),vs노틸러스(패),vs니코(승),vs니코(패),vs니달리(승),vs니달리(패),vs닐라(승),vs닐라(패),vs녹턴(승),vs녹턴(패),vs누누와 윌럼프(승),vs누누와 윌럼프(패),vs올라프(승),vs올라프(패),vs오리아나(승),vs오리아나(패),vs오른(승),vs오른(패),vs판테온(승),vs판테온(패),vs뽀삐(승),vs뽀삐(패),vs파이크(승),vs파이크(패),vs키아나(승),vs키아나(패),vs퀸(승),vs퀸(패),vs라칸(승),vs라칸(패),vs람머스(승),vs람머스(패),vs렉사이(승),vs렉사이(패),vs렐(승),vs렐(패),vs레타나 글라스크(승),vs레타나 글라스크(패),vs레넥톤(승),vs레넥톤(패),vs렝가(승),vs렝가(패),vs리븐(승),vs리븐(패),vs럼블(승),vs럼블(패),vs라이즈(승),vs라이즈(패),vs사미라(승),vs사미라(패),vs세주아니(승),vs세주아니(패),vs세나(승),vs세나(패),vs세라핀(승),vs세라핀(패),vs세트(승),vs세트(패),vs샤코(승),vs샤코(패),vs쉔(승),vs쉔(패),vs쉬바나(승),vs쉬바나(패),vs신지드(승),vs신지드(패),vs사이온(승),vs사이온(패),vs시비르(승),vs시비르(패),vs스카너(승),vs스카너(패),vs소나(승),vs소나(패),vs소라카(승),vs소라카(패),vs스웨인(승),vs스웨인(패),vs사일러스(승),vs사일러스(패),vs신드라(승),vs신드라(패),vs탐 켄치(승),vs탐 켄치(패),vs탈리야(승),vs탈리야(패),vs탈론(승),vs탈론(패),vs타릭(승),vs타릭(패),vs티모(승),vs티모(패),vs쓰레쉬(승),vs쓰레쉬(패),vs트리스타나(승),vs트리스타나(패),vs트런들(승),vs트런들(패),vs트린다미어(승),vs트린다미어(패),vs트위스티드 페이트(승),vs트위스티드 페이트(패),vs트위치(승),vs트위치(패),vs우디르(승),vs우디르(패),vs우르곳(승),vs우르곳(패),vs바루스(승),vs바루스(패),vs베인(승),vs베인(패),vs베이가(승),vs베이가(패),vs벨코즈(승),vs벨코즈(패),vs벡스(승),vs벡스(패),vs바이(승),vs바이(패),vs비에고(승),vs비에고(패),vs빅토르(승),vs빅토르(패),vs블라디미르(승),vs블라디미르(패),vs볼리베어(승),vs볼리베어(패),vs워윅(승),vs워윅(패),vs자야(승),vs자야(패),vs제라스(승),vs제라스(패),vs신 짜오(승),vs신 짜오(패),vs야스오(승),vs야스오(패),vs요네(승),vs요네(패),vs요릭(승),vs요릭(패),vs유미(승),vs유미(패),vs자크(승),vs자크(패),vs제드(승),vs제드(패),vs제리(승),vs제리(패),vs직스(승),vs직스(패),vs질리언(승),vs질리언(패),vs조이(승),vs조이(패),vs자이라(승),vs자이라(패)
아트록스,266,841,784,-1,-1,16,11,57,45,29,25,28,29,51,49,4,2,0,1,75,52,35,46,2,0,25,23,31,22,27,26,37,30,6,2,16,12,73,70,80,68,10,13,2,4,2,0,20,17,21,22,39,33,4,1,26,26,18,12,0,3,75,56,11,8,94,75,5,9,40,36,24,24,9,5,42,24,31,36,130,106,7,5,54,53,17,17,6,7,81,75,8,7,7,7,6,5,57,58,18,22,30,27,22,24,154,160,59,48,59,43,33,26,2,6,16,19,0,4,10,6,47,48,6,9,56,54,10,7,4,1,25,17,102,91,43,40,14,9,3,7,14,13,44,44,14,26,2,3,2,1,61,67,6,12,56,44,4,3,7,3,7,5,4,1,4,2,92,96,8,7,87,86,11,14,2,1,24,14,11,17,11,5,18,17,13,23,15,27,55,47,20,27,13,8,42,38,9,5,20,23,28,35,31,30,54,52,10,6,8,14,42,34,15,10,48,40,35,24,5,6,4,8,59,54,11,12,10,2,2,1,6,4,2,3,20,23,0,2,2,0,11,11,8,7,94,101,57,45,9,8,58,57,25,19,12,17,6,5,57,51,37,38,5,4,15,11,9,10,9,6,13,14,6,9,54,61,7,12,8,3,3,2,27,31,16,21,61,52,59,61,15,12,2,0,14,3,11,14,12,7,6,6,29,24,85,85,2,5,36,26,13,23,26,26,5,3,5,1,3,5,52,58,4,2
아리,103,82,81,11,16,-1,-1,5,3,4,3,5,0,9,7,0,0,0,0,3,2,6,4,0,0,4,3,4,3,3,3,5,5,0,0,2,0,7,5,3,4,1,0,1,0,0,0,2,2,3,1,4,3,0,1,2,0,0,3,0,0,6,1,2,1,1,4,1,0,4,6,3,3,0,0,1,2,3,3,8,13,1,2,5,2,0,1,0,1,3,1,0,0,1,0,0,0,6,3,0,2,4,2,2,4,15,24,3,8,8,3,5,6,0,0,2,2,1,1,1,1,4,2,2,2,9,5,1,1,1,1,5,4,5,8,1,6,1,1,2,0,2,1,6,7,1,2,0,0,0,1,10,13,1,0,5,3,1,0,1,0,1,1,0,2,0,0,6,6,0,2,6,7,2,4,0,0,0,1,2,0,0,0,3,3,0,2,1,2,5,4,3,3,0,2,1,3,1,1,1,1,5,4,1,2,5,3,2,4,0,1,6,2,1,0,8,2,8,4,1,3,1,0,5,9,2,2,2,0,0,0,0,0,1,1,1,2,0,2,1,0,2,0,1,1,6,8,1,2,0,0,8,9,0,6,0,2,0,1,4,3,1,2,2,0,1,0,3,1,1,2,3,2,0,0,6,6,1,0,1,0,0,1,5,4,5,5,7,1,9,8,1,0,1,1,1,0,2,5,0,1,0,0,3,2,7,3,0,0,5,3,3,4,3,8,2,0,0,0,0,0,5,7,0,1
아칼리,84,388,422,45,57,3,5,-1,-1,17,7,9,17,18,27,1,2,0,0,27,26,16,22,0,0,13,11,20,14,10,15,19,14,1,4,15,11,38,38,21,28,5,9,1,2,1,1,5,4,13,9,14,29,4,1,14,6,12,11,1,0,30,28,5,9,22,19,4,6,13,22,20,16,2,3,15,7,25,21,45,58,1,1,21,29,9,8,3,6,23,30,2,2,2,3,1,3,15,33,7,10,15,12,7,12,69,77,12,28,24,21,14,21,1,1,9,5,3,2,6,2,12,11,6,8,24,33,4,4,1,1,17,18,35,40,9,27,8,9,1,2,4,2,16,19,11,13,4,0,0,1,41,42,5,3,29,29,2,3,1,1,8,4,0,1,3,3,40,44,2,1,40,36,8,7,1,3,6,3,11,6,5,10,8,13,9,5,11,14,26,14,12,13,0,3,26,14,5,2,9,13,12,24,13,14,31,29,8,5,8,3,19,18,1,9,25,30,18,13,5,8,3,2,36,40,11,9,6,5,1,1,1,3,0,1,17,6,0,0,0,0,6,6,2,5,61,66,42,31,4,4,30,28,10,7,5,3,3,2,22,45,17,24,3,2,5,10,9,9,7,5,5,4,3,1,26,27,4,7,0,0,4,2,13,13,10,11,19,37,32,43,11,16,1,2,2,2,8,7,3,2,4,2,30,12,28,41,0,0,17,13,9,13,14,10,3,1,0,2,1,2,23,31,1,2
아크샨,166,156,189,25,29,3,4,7,17,-1,-1,11,6,5,19,0,2,0,0,11,13,11,10,0,0,6,5,4,6,8,8,5,12,2,0,3,5,10,15,8,5,2,2,0,1,0,0,3,1,2,4,6,5,0,3,3,2,1,1,1,1,14,16,3,2,5,6,0,0,3,12,7,12,1,0,5,4,6,4,20,33,0,1,10,17,1,3,1,5,8,14,2,0,1,1,0,3,5,5,1,1,8,9,5,8,30,34,10,7,8,12,5,10,1,1,3,5,0,0,5,5,3,11,5,4,5,14,1,3,1,0,4,4,15,17,15,13,4,2,0,0,3,3,7,9,6,4,3,4,2,1,11,10,0,1,11,18,0,0,0,3,0,2,0,1,1,0,11,22,4,2,13,18,4,5,1,4,1,3,1,2,2,3,6,12,4,0,6,2,11,9,7,10,2,4,2,11,1,1,2,1,6,11,4,4,7,8,9,3,2,2,9,7,1,2,12,13,11,12,0,0,1,4,12,13,3,1,3,6,0,0,2,1,2,0,3,3,0,0,0,0,3,1,4,1,14,12,9,9,3,0,25,20,4,7,1,4,0,1,12,14,6,9,3,1,2,5,2,4,2,1,3,5,0,0,11,16,1,2,2,1,2,0,3,5,8,4,9,12,13,19,5,8,0,0,0,0,2,0,1,0,2,0,10,6,18,13,0,0,7,5,2,4,8,10,1,0,0,1,1,2,12,12,2,2
알리스타,12,217,206,29,28,0,5,17,9,6,11,-1,-1,24,24,0,0,0,0,7,8,6,1,0,0,6,7,5,2,7,9,16,11,2,1,4,3,7,13,10,10,2,3,2,3,0,1,3,1,10,6,9,6,3,4,10,12,5,1,0,1,17,15,4,3,8,9,3,3,12,13,14,6,1,1,6,2,15,16,23,29,1,2,5,8,3,1,2,3,13,17,1,0,4,1,1,1,12,10,4,1,6,4,0,4,40,30,21,24,7,5,5,3,1,0,4,10,0,0,1,1,7,7,7,3,13,11,3,2,0,1,4,3,18,23,13,24,5,3,0,0,4,3,7,8,0,1,2,0,0,0,20,21,2,2,18,10,0,0,2,2,4,3,1,0,2,0,31,32,0,1,27,24,5,3,3,1,5,2,3,1,4,0,6,7,5,1,2,8,8,8,8,4,4,3,8,12,3,2,6,6,17,28,6,5,14,18,5,6,1,4,11,8,5,1,32,28,17,9,4,1,1,2,24,16,4,4,7,1,0,0,1,4,0,0,7,5,0,0,0,0,2,2,2,2,20,21,5,6,2,0,17,20,9,10,5,4,0,1,4,7,14,14,2,1,4,2,3,4,3,3,2,2,0,0,7,12,2,2,1,0,1,1,6,5,7,8,21,20,9,15,1,6,0,2,1,1,3,5,0,1,1,1,10,11,26,16,1,2,7,4,9,8,12,4,2,2,1,0,1,2,19,19,3,0
아무무,32,396,385,49,51,7,9,27,18,19,5,24,24,-1,-1,3,1,0,0,28,24,18,19,1,0,14,9,16,8,16,12,18,14,1,4,22,32,37,30,28,14,11,6,1,3,1,0,6,9,12,5,18,17,2,2,9,6,9,7,0,1,35,30,10,8,17,23,2,5,18,25,15,19,1,4,10,13,16,15,58,63,4,2,25,26,15,10,5,3,19,25,2,0,2,3,3,5,18,23,9,10,13,18,6,7,74,82,18,13,16,16,13,6,1,0,15,5,2,1,7,3,18,15,5,7,20,27,5,3,2,2,6,5,47,43,34,24,6,9,3,1,10,9,19,20,7,8,2,1,0,1,37,35,4,7,33,30,2,2,2,2,5,7,2,3,4,1,20,27,2,2,29,30,13,11,0,3,6,6,12,6,7,5,14,15,9,7,12,11,23,24,17,11,7,5,14,17,3,5,10,8,18,30,16,12,19,23,15,8,6,4,19,9,4,1,14,28,26,18,4,3,5,1,27,34,2,4,6,6,0,0,3,2,1,4,11,5,0,0,0,1,7,4,1,3,54,56,26,28,4,0,32,35,15,12,9,9,1,0,26,37,16,14,3,1,5,4,5,7,3,4,11,5,2,3,33,35,6,6,1,4,1,3,14,21,11,12,24,24,28,33,11,17,1,1,2,2,4,4,3,2,5,2,19,12,28,23,0,5,16,8,6,9,9,12,1,0,2,0,1,2,19,23,2,2
애니비아,34,27,29,2,4,0,0,2,1,2,0,0,0,1,3,-1,-1,0,0,1,1,0,2,0,0,0,1,2,1,1,2,0,2,0,0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,4,3,0,0,2,0,0,0,3,1,2,2,0,0,0,3,2,0,3,2,1,0,1,3,0,1,0,0,4,2,0,0,1,0,1,0,1,1,0,1,2,0,2,1,5,5,2,4,5,5,2,0,0,0,2,1,0,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,3,5,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,2,3,0,0,0,2,0,0,0,0,0,1,1,0,0,0,2,3,0,0,2,4,1,0,0,0,3,1,0,1,0,1,2,0,2,0,0,2,3,0,3,1,0,0,1,4,0,0,0,0,1,2,0,0,2,4,0,1,0,0,0,2,1,1,2,2,2,3,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,4,0,3,0,0,1,2,0,0,0,1,1,0,3,1,2,2,0,0,0,0,2,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,1,3,2,1,2,2,0,0,0,0,0,3,0,0,0,0,1,2,1,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,0
애니,1,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
아펠리오스,523,350,431,52,75,2,3,26,27,13,11,8,7,24,28,1,1,0,0,-1,-1,15,18,0,0,16,15,14,17,11,22,18,23,1,2,7,7,27,46,16,16,6,5,1,1,0,0,5,3,8,4,21,21,3,5,4,9,11,7,1,1,22,32,6,5,20,14,1,2,12,26,14,22,1,3,12,13,18,19,52,72,2,2,10,27,9,5,2,5,24,15,0,0,3,2,1,4,14,18,7,7,11,10,18,25,88,89,31,31,15,24,18,13,2,2,8,6,0,0,5,4,11,25,7,8,30,29,8,2,2,0,14,14,40,41,15,23,7,10,5,2,7,6,13,18,7,12,1,1,0,1,35,40,4,5,28,32,0,1,3,1,3,3,0,2,2,0,50,46,0,4,43,53,6,8,2,3,10,7,6,5,9,3,12,18,5,9,10,10,25,19,8,14,1,3,13,22,2,6,3,6,14,29,13,16,24,34,4,6,4,5,11,27,1,7,21,20,13,20,2,6,1,5,26,40,3,5,5,9,0,0,0,6,1,4,4,9,0,2,0,0,6,6,4,5,37,48,16,19,4,2,26,32,9,13,7,8,5,0,28,38,9,17,4,0,3,8,7,7,4,3,6,6,3,0,26,49,3,5,2,3,4,2,9,21,13,13,20,34,34,30,7,14,0,1,3,0,3,9,1,2,2,1,12,8,41,44,0,0,10,13,4,10,11,16,5,1,2,3,0,2,27,28,2,1
애쉬,22,251,261,46,35,4,6,22,16,10,11,1,6,19,18,2,0,0,0,18,15,-1,-1,0,0,6,12,7,11,9,7,11,7,3,1,3,4,37,32,10,10,4,6,1,0,0,0,5,5,12,10,6,11,1,4,2,3,7,9,3,0,15,21,7,3,8,12,1,0,12,20,9,13,1,0,9,6,15,15,35,37,2,0,11,7,5,5,4,1,13,18,1,0,1,2,6,5,6,13,3,3,9,12,2,6,42,47,21,26,18,20,7,10,1,1,4,9,1,0,4,3,7,12,3,5,11,18,3,5,2,1,4,5,22,41,10,14,7,1,2,1,2,4,22,18,13,10,1,0,0,0,17,21,3,2,15,20,0,0,1,3,4,2,0,2,0,1,15,26,1,1,22,26,6,5,0,3,4,1,5,6,3,0,4,15,5,5,8,7,6,11,11,7,1,7,10,12,3,1,3,9,13,14,21,19,15,12,7,6,2,4,10,6,5,3,12,12,9,11,3,2,0,6,23,19,1,4,3,2,0,0,4,2,3,4,5,4,0,2,0,0,9,5,1,2,29,35,8,7,3,0,24,25,12,8,7,3,3,2,11,21,16,11,3,1,3,6,3,3,1,3,3,2,1,1,26,22,7,5,1,1,1,1,12,11,8,8,18,8,17,13,7,6,0,2,1,0,7,4,0,3,5,2,12,10,16,16,0,2,14,11,8,5,17,5,5,1,1,2,2,0,16,16,3,2
